,Bin_Value,Timestamp
101,5,16-04-2023
102,7,17-04-2023
103,7,18-04-2023
104,8,19-04-2023
105,3,20-04-2023
106,6,21-04-2023
107,5,22-04-2023
108,6,23-04-2023
109,2,24-04-2023
110,8,25-04-2023
111,5,26-04-2023
112,6,27-04-2023
113,4,28-04-2023
114,7,29-04-2023
115,4,30-04-2023
116,3,01-05-2023
117,4,02-05-2023
118,6,03-05-2023
119,6,04-05-2023
120,7,05-05-2023
121,4,06-05-2023
122,3,07-05-2023
123,10,08-05-2023
124,3,09-05-2023
125,4,10-05-2023
126,7,11-05-2023
127,6,12-05-2023
128,6,13-05-2023
129,6,14-05-2023
130,5,15-05-2023
131,5,16-05-2023
132,6,17-05-2023
133,7,18-05-2023
134,7,19-05-2023
135,1,20-05-2023
136,8,21-05-2023
137,4,22-05-2023
138,2,23-05-2023
139,6,24-05-2023
140,6,25-05-2023
141,1,26-05-2023
142,5,27-05-2023
143,7,28-05-2023
144,5,29-05-2023
145,5,30-05-2023
146,5,31-05-2023
147,5,01-06-2023
148,3,02-06-2023
149,4,03-06-2023
150,4,04-06-2023
151,7,05-06-2023
152,7,06-06-2023
153,4,07-06-2023
154,3,08-06-2023
155,6,09-06-2023
156,6,10-06-2023
157,4,11-06-2023
158,7,12-06-2023
159,5,13-06-2023
160,7,14-06-2023
161,2,15-06-2023
162,7,16-06-2023
163,5,17-06-2023
164,7,18-06-2023
165,9,19-06-2023
166,6,20-06-2023
167,5,21-06-2023
168,6,22-06-2023
169,4,23-06-2023
170,2,24-06-2023
171,5,25-06-2023
172,5,26-06-2023
173,3,27-06-2023
174,5,28-06-2023
175,5,29-06-2023
176,4,30-06-2023
177,4,01-07-2023
178,4,02-07-2023
179,5,03-07-2023
180,7,04-07-2023
181,2,05-07-2023
182,7,06-07-2023
183,7,07-07-2023
184,6,08-07-2023
185,6,09-07-2023
186,4,10-07-2023
187,5,11-07-2023
188,3,12-07-2023
189,9,13-07-2023
190,6,14-07-2023
191,5,15-07-2023
192,6,16-07-2023
193,6,17-07-2023
194,5,18-07-2023
195,2,19-07-2023
196,10,20-07-2023
197,3,21-07-2023
198,5,22-07-2023
199,6,23-07-2023
200,5,24-07-2023
201,7,25-07-2023
202,3,26-07-2023
203,6,27-07-2023
204,2,28-07-2023
205,4,29-07-2023
206,5,30-07-2023
207,5,31-07-2023
208,9,01-08-2023
209,4,02-08-2023
210,4,03-08-2023
211,5,04-08-2023
212,6,05-08-2023
213,6,06-08-2023
214,8,07-08-2023
215,4,08-08-2023
216,5,09-08-2023
217,6,10-08-2023
218,8,11-08-2023
219,7,12-08-2023
220,6,13-08-2023
221,6,14-08-2023
222,3,15-08-2023
223,6,16-08-2023
224,5,17-08-2023
225,6,18-08-2023
226,1,19-08-2023
227,5,20-08-2023
228,6,21-08-2023
229,5,22-08-2023
230,8,23-08-2023
231,4,24-08-2023
232,5,25-08-2023
233,6,26-08-2023
234,4,27-08-2023
235,3,28-08-2023
236,3,29-08-2023
237,4,30-08-2023
238,5,31-08-2023
239,3,01-09-2023
240,7,02-09-2023
241,5,03-09-2023
242,7,04-09-2023
243,2,05-09-2023
244,5,06-09-2023
245,6,07-09-2023
246,1,08-09-2023
247,6,09-09-2023
248,6,10-09-2023
249,1,11-09-2023
250,1,12-09-2023
251,4,13-09-2023
252,7,14-09-2023
253,2,15-09-2023
254,5,16-09-2023
255,4,17-09-2023
256,4,18-09-2023
257,6,19-09-2023
258,6,20-09-2023
259,6,21-09-2023
260,6,22-09-2023
261,7,23-09-2023
262,6,24-09-2023
263,3,25-09-2023
264,9,26-09-2023
265,8,27-09-2023
266,4,28-09-2023
267,2,29-09-2023
268,8,30-09-2023
269,5,01-10-2023
270,9,02-10-2023
271,9,03-10-2023
272,7,04-10-2023
273,7,05-10-2023
274,2,06-10-2023
275,4,07-10-2023
276,10,08-10-2023
277,8,09-10-2023
278,8,10-10-2023
279,1,11-10-2023
280,2,12-10-2023
281,3,13-10-2023
282,8,14-10-2023
283,1,15-10-2023
284,2,16-10-2023
285,6,17-10-2023
286,6,18-10-2023
287,1,19-10-2023
288,5,20-10-2023
289,8,21-10-2023
290,7,22-10-2023
291,3,23-10-2023
292,5,24-10-2023
293,4,25-10-2023
294,5,26-10-2023
295,4,27-10-2023
296,9,28-10-2023
297,5,29-10-2023
298,8,30-10-2023
299,1,31-10-2023
300,8,01-11-2023
301,5,02-11-2023
302,7,03-11-2023
303,6,04-11-2023
304,1,05-11-2023
305,7,06-11-2023
306,4,07-11-2023
307,2,08-11-2023
308,5,09-11-2023
309,6,10-11-2023
310,1,11-11-2023
311,5,12-11-2023
312,7,13-11-2023
313,6,14-11-2023
314,7,15-11-2023
315,2,16-11-2023
316,4,17-11-2023
317,3,18-11-2023
318,7,19-11-2023
319,5,20-11-2023
320,5,21-11-2023
321,4,22-11-2023
322,4,23-11-2023
323,7,24-11-2023
324,4,25-11-2023
325,4,26-11-2023
326,4,27-11-2023
327,3,28-11-2023
328,4,29-11-2023
329,4,30-11-2023
330,4,01-12-2023
331,6,02-12-2023
332,2,03-12-2023
333,8,04-12-2023
334,5,05-12-2023
335,1,06-12-2023
336,8,07-12-2023
337,4,08-12-2023
338,3,09-12-2023
339,6,10-12-2023
340,2,11-12-2023
341,1,12-12-2023
342,10,13-12-2023
343,3,14-12-2023
344,5,15-12-2023
345,7,16-12-2023
346,5,17-12-2023
347,4,18-12-2023
348,5,19-12-2023
349,4,20-12-2023
350,7,21-12-2023
351,4,22-12-2023
352,8,23-12-2023
353,4,24-12-2023
354,6,25-12-2023
355,7,26-12-2023
356,6,27-12-2023
357,4,28-12-2023
358,5,29-12-2023
359,5,30-12-2023
360,1,31-12-2023
361,1,01-01-2024
362,6,02-01-2024
363,6,03-01-2024
364,3,04-01-2024
365,6,05-01-2024
366,4,06-01-2024
367,4,07-01-2024
368,6,08-01-2024
369,3,09-01-2024
370,7,10-01-2024
371,6,11-01-2024
372,4,12-01-2024
373,3,13-01-2024
374,4,14-01-2024
375,6,15-01-2024
376,6,16-01-2024
377,4,17-01-2024
378,7,18-01-2024
379,6,19-01-2024
380,5,20-01-2024
381,1,21-01-2024
382,7,22-01-2024
383,7,23-01-2024
384,5,24-01-2024
385,4,25-01-2024
386,6,26-01-2024
387,5,27-01-2024
388,10,28-01-2024
389,6,29-01-2024
390,9,30-01-2024
391,1,31-01-2024
392,2,01-02-2024
393,5,02-02-2024
394,3,03-02-2024
395,8,04-02-2024
396,7,05-02-2024
397,5,06-02-2024
398,5,07-02-2024
399,5,08-02-2024
400,5,09-02-2024
401,5,10-02-2024
402,5,11-02-2024
403,7,12-02-2024
404,5,13-02-2024
405,8,14-02-2024
406,8,15-02-2024
407,2,16-02-2024
408,4,17-02-2024
409,5,18-02-2024
410,4,19-02-2024
411,4,20-02-2024
412,3,21-02-2024
413,6,22-02-2024
414,8,23-02-2024
415,8,24-02-2024
416,5,25-02-2024
417,5,26-02-2024
418,10,27-02-2024
419,4,28-02-2024
420,3,29-02-2024
421,6,01-03-2024
422,3,02-03-2024
423,2,03-03-2024
424,4,04-03-2024
425,1,05-03-2024
426,1,06-03-2024
427,5,07-03-2024
428,1,08-03-2024
429,5,09-03-2024
430,5,10-03-2024
431,4,11-03-2024
432,2,12-03-2024
433,5,13-03-2024
434,8,14-03-2024
435,5,15-03-2024
436,2,16-03-2024
437,2,17-03-2024
438,6,18-03-2024
439,3,19-03-2024
440,5,20-03-2024
441,5,21-03-2024
442,6,22-03-2024
443,4,23-03-2024
444,3,24-03-2024
445,5,25-03-2024
446,4,26-03-2024
447,4,27-03-2024
448,3,28-03-2024
449,4,29-03-2024
450,4,30-03-2024
451,1,31-03-2024
452,6,01-04-2024
453,3,02-04-2024
454,5,03-04-2024
455,7,04-04-2024
456,7,05-04-2024
457,6,06-04-2024
458,3,07-04-2024
459,1,08-04-2024
460,8,09-04-2024
461,4,10-04-2024
462,2,11-04-2024
463,7,12-04-2024
464,7,13-04-2024
465,2,14-04-2024
466,4,15-04-2024
467,7,16-04-2024
468,4,17-04-2024
469,6,18-04-2024
470,4,19-04-2024
471,7,20-04-2024
472,7,21-04-2024
473,4,22-04-2024
474,6,23-04-2024
475,7,24-04-2024
476,8,25-04-2024
477,5,26-04-2024
478,5,27-04-2024
479,6,28-04-2024
480,4,29-04-2024
481,5,30-04-2024
482,3,01-05-2024
483,5,02-05-2024
484,7,03-05-2024
485,8,04-05-2024
486,8,05-05-2024
487,6,06-05-2024
488,10,07-05-2024
489,5,08-05-2024
490,4,09-05-2024
491,4,10-05-2024
492,2,11-05-2024
493,9,12-05-2024
494,3,13-05-2024
495,4,14-05-2024
496,1,15-05-2024
497,6,16-05-2024
498,10,17-05-2024
499,7,18-05-2024
500,5,19-05-2024
501,4,20-05-2024
502,3,21-05-2024
503,2,22-05-2024
504,7,23-05-2024
505,7,24-05-2024
506,4,25-05-2024
507,3,26-05-2024
508,4,27-05-2024
509,5,28-05-2024
510,5,29-05-2024
511,5,30-05-2024
512,7,31-05-2024
513,4,01-06-2024
514,6,02-06-2024
515,6,03-06-2024
516,6,04-06-2024
517,2,05-06-2024
518,4,06-06-2024
519,5,07-06-2024
520,6,08-06-2024
521,5,09-06-2024
522,5,10-06-2024
523,5,11-06-2024
524,4,12-06-2024
525,6,13-06-2024
526,4,14-06-2024
527,6,15-06-2024
528,5,16-06-2024
529,10,17-06-2024
530,5,18-06-2024
531,5,19-06-2024
532,3,20-06-2024
533,5,21-06-2024
534,1,22-06-2024
535,4,23-06-2024
536,3,24-06-2024
537,4,25-06-2024
538,6,26-06-2024
539,6,27-06-2024
540,6,28-06-2024
541,7,29-06-2024
542,4,30-06-2024
543,6,01-07-2024
544,2,02-07-2024
545,6,03-07-2024
546,2,04-07-2024
547,5,05-07-2024
548,5,06-07-2024
549,4,07-07-2024
550,5,08-07-2024
551,2,09-07-2024
552,3,10-07-2024
553,7,11-07-2024
554,5,12-07-2024
555,6,13-07-2024
556,6,14-07-2024
557,5,15-07-2024
558,2,16-07-2024
559,4,17-07-2024
560,5,18-07-2024
561,8,19-07-2024
562,7,20-07-2024
563,3,21-07-2024
564,7,22-07-2024
565,10,23-07-2024
566,8,24-07-2024
567,4,25-07-2024
568,6,26-07-2024
569,6,27-07-2024
570,1,28-07-2024
571,3,29-07-2024
572,4,30-07-2024
573,4,31-07-2024
574,6,01-08-2024
575,6,02-08-2024
576,3,03-08-2024
577,3,04-08-2024
578,4,05-08-2024
579,2,06-08-2024
580,4,07-08-2024
581,7,08-08-2024
582,3,09-08-2024
583,4,10-08-2024
584,4,11-08-2024
585,4,12-08-2024
586,7,13-08-2024
587,5,14-08-2024
588,8,15-08-2024
589,6,16-08-2024
590,6,17-08-2024
591,6,18-08-2024
592,5,19-08-2024
593,4,20-08-2024
594,4,21-08-2024
595,6,22-08-2024
596,3,23-08-2024
597,2,24-08-2024
598,8,25-08-2024
599,5,26-08-2024
600,7,27-08-2024
601,4,28-08-2024
602,4,29-08-2024
603,6,30-08-2024
604,8,31-08-2024
605,6,01-09-2024
606,8,02-09-2024
607,6,03-09-2024
608,7,04-09-2024
609,6,05-09-2024
610,4,06-09-2024
611,3,07-09-2024
612,1,08-09-2024
613,5,09-09-2024
614,8,10-09-2024
615,7,11-09-2024
616,5,12-09-2024
617,7,13-09-2024
618,2,14-09-2024
619,5,15-09-2024
620,6,16-09-2024
621,7,17-09-2024
622,5,18-09-2024
623,6,19-09-2024
624,4,20-09-2024
625,4,21-09-2024
626,7,22-09-2024
627,3,23-09-2024
628,6,24-09-2024
629,5,25-09-2024
630,4,26-09-2024
631,5,27-09-2024
632,7,28-09-2024
633,5,29-09-2024
634,3,30-09-2024
635,6,01-10-2024
636,3,02-10-2024
637,3,03-10-2024
638,7,04-10-2024
639,5,05-10-2024
640,6,06-10-2024
641,6,07-10-2024
642,4,08-10-2024
643,2,09-10-2024
644,7,10-10-2024
645,5,11-10-2024
646,6,12-10-2024
647,5,13-10-2024
648,6,14-10-2024
649,2,15-10-2024
650,5,16-10-2024
651,2,17-10-2024
652,1,18-10-2024
653,6,19-10-2024
654,5,20-10-2024
655,7,21-10-2024
656,2,22-10-2024
657,3,23-10-2024
658,5,24-10-2024
659,9,25-10-2024
660,4,26-10-2024
661,4,27-10-2024
662,5,28-10-2024
663,3,29-10-2024
664,3,30-10-2024
665,5,31-10-2024
666,5,01-11-2024
667,4,02-11-2024
668,4,03-11-2024
669,6,04-11-2024
670,4,05-11-2024
671,8,06-11-2024
672,5,07-11-2024
673,2,08-11-2024
674,6,09-11-2024
675,2,10-11-2024
676,4,11-11-2024
677,8,12-11-2024
678,4,13-11-2024
679,8,14-11-2024
680,9,15-11-2024
681,5,16-11-2024
682,3,17-11-2024
683,5,18-11-2024
684,9,19-11-2024
685,10,20-11-2024
686,3,21-11-2024
687,4,22-11-2024
688,6,23-11-2024
689,9,24-11-2024
690,3,25-11-2024
691,2,26-11-2024
692,4,27-11-2024
693,5,28-11-2024
694,3,29-11-2024
695,5,30-11-2024
696,4,01-12-2024
697,5,02-12-2024
698,5,03-12-2024
699,9,04-12-2024
700,6,05-12-2024
701,2,06-12-2024
702,5,07-12-2024
703,3,08-12-2024
704,1,09-12-2024
705,6,10-12-2024
706,5,11-12-2024
707,6,12-12-2024
708,3,13-12-2024
709,1,14-12-2024
710,6,15-12-2024
711,6,16-12-2024
712,4,17-12-2024
713,5,18-12-2024
714,6,19-12-2024
715,8,20-12-2024
716,5,21-12-2024
717,4,22-12-2024
718,5,23-12-2024
719,7,24-12-2024
720,4,25-12-2024
721,6,26-12-2024
722,6,27-12-2024
723,5,28-12-2024
724,4,29-12-2024
725,6,30-12-2024
726,6,31-12-2024
727,5,01-01-2025
728,1,02-01-2025
729,2,03-01-2025
730,3,04-01-2025
731,7,05-01-2025
732,6,06-01-2025
733,1,07-01-2025
734,6,08-01-2025
735,5,09-01-2025
736,7,10-01-2025
737,1,11-01-2025
738,7,12-01-2025
739,5,13-01-2025
740,4,14-01-2025
741,7,15-01-2025
742,1,16-01-2025
743,4,17-01-2025
744,4,18-01-2025
745,8,19-01-2025
746,5,20-01-2025
747,3,21-01-2025
748,5,22-01-2025
749,4,23-01-2025
750,4,24-01-2025
751,3,25-01-2025
752,5,26-01-2025
753,5,27-01-2025
754,9,28-01-2025
755,2,29-01-2025
756,7,30-01-2025
757,3,31-01-2025
758,2,01-02-2025
759,4,02-02-2025
760,1,03-02-2025
761,4,04-02-2025
762,1,05-02-2025
763,3,06-02-2025
764,6,07-02-2025
765,4,08-02-2025
766,5,09-02-2025
767,3,10-02-2025
768,6,11-02-2025
769,7,12-02-2025
770,3,13-02-2025
771,9,14-02-2025
772,3,15-02-2025
773,8,16-02-2025
774,6,17-02-2025
775,5,18-02-2025
776,2,19-02-2025
777,6,20-02-2025
778,5,21-02-2025
779,10,22-02-2025
780,6,23-02-2025
781,1,24-02-2025
782,6,25-02-2025
783,8,26-02-2025
784,1,27-02-2025
785,10,28-02-2025
786,9,01-03-2025
787,2,02-03-2025
788,7,03-03-2025
789,3,04-03-2025
790,7,05-03-2025
791,5,06-03-2025
792,5,07-03-2025
793,4,08-03-2025
794,5,09-03-2025
795,7,10-03-2025
796,6,11-03-2025
797,2,12-03-2025
798,3,13-03-2025
799,7,14-03-2025
800,5,15-03-2025
801,7,16-03-2025
802,6,17-03-2025
803,6,18-03-2025
804,8,19-03-2025
805,1,20-03-2025
806,6,21-03-2025
807,6,22-03-2025
808,4,23-03-2025
809,5,24-03-2025
810,3,25-03-2025
811,4,26-03-2025
812,4,27-03-2025
813,10,28-03-2025
814,7,29-03-2025
815,3,30-03-2025
816,5,31-03-2025
817,7,01-04-2025
818,4,02-04-2025
819,2,03-04-2025
820,8,04-04-2025
821,5,05-04-2025
822,3,06-04-2025
823,7,07-04-2025
824,5,08-04-2025
825,6,09-04-2025
826,3,10-04-2025
827,6,11-04-2025
828,7,12-04-2025
829,5,13-04-2025
830,4,14-04-2025
831,3,15-04-2025
832,5,16-04-2025
833,4,17-04-2025
834,5,18-04-2025
835,10,19-04-2025
836,4,20-04-2025
837,6,21-04-2025
838,7,22-04-2025
839,8,23-04-2025
840,3,24-04-2025
841,4,25-04-2025
842,4,26-04-2025
843,3,27-04-2025
844,1,28-04-2025
845,6,29-04-2025
846,4,30-04-2025
847,4,01-05-2025
848,5,02-05-2025
849,7,03-05-2025
850,8,04-05-2025
851,6,05-05-2025
852,2,06-05-2025
853,5,07-05-2025
854,4,08-05-2025
855,8,09-05-2025
856,2,10-05-2025
857,5,11-05-2025
858,2,12-05-2025
859,4,13-05-2025
860,5,14-05-2025
861,4,15-05-2025
862,4,16-05-2025
863,2,17-05-2025
864,4,18-05-2025
865,5,19-05-2025
866,2,20-05-2025
867,5,21-05-2025
868,2,22-05-2025
869,5,23-05-2025
870,4,24-05-2025
871,8,25-05-2025
872,4,26-05-2025
873,5,27-05-2025
874,4,28-05-2025
875,4,29-05-2025
876,4,30-05-2025
877,7,31-05-2025
878,2,01-06-2025
879,6,02-06-2025
880,5,03-06-2025
881,7,04-06-2025
882,4,05-06-2025
883,1,06-06-2025
884,9,07-06-2025
885,4,08-06-2025
886,5,09-06-2025
887,3,10-06-2025
888,2,11-06-2025
889,8,12-06-2025
890,6,13-06-2025
891,3,14-06-2025
892,6,15-06-2025
893,6,16-06-2025
894,8,17-06-2025
895,6,18-06-2025
896,5,19-06-2025
897,1,20-06-2025
898,8,21-06-2025
899,6,22-06-2025
900,3,23-06-2025
901,6,24-06-2025
902,7,25-06-2025
903,6,26-06-2025
904,9,27-06-2025
905,6,28-06-2025
906,3,29-06-2025
907,3,30-06-2025
908,5,01-07-2025
909,4,02-07-2025
910,7,03-07-2025
911,5,04-07-2025
912,10,05-07-2025
913,3,06-07-2025
914,7,07-07-2025
915,10,08-07-2025
916,3,09-07-2025
917,4,10-07-2025
918,8,11-07-2025
919,5,12-07-2025
920,7,13-07-2025
921,2,14-07-2025
922,7,15-07-2025
923,1,16-07-2025
924,5,17-07-2025
925,6,18-07-2025
926,7,19-07-2025
927,5,20-07-2025
928,3,21-07-2025
929,8,22-07-2025
930,7,23-07-2025
931,4,24-07-2025
932,5,25-07-2025
933,9,26-07-2025
934,4,27-07-2025
935,9,28-07-2025
936,7,29-07-2025
937,4,30-07-2025
938,4,31-07-2025
939,3,01-08-2025
940,6,02-08-2025
941,6,03-08-2025
942,5,04-08-2025
943,6,05-08-2025
944,6,06-08-2025
945,3,07-08-2025
946,8,08-08-2025
947,3,09-08-2025
948,3,10-08-2025
949,4,11-08-2025
950,5,12-08-2025
951,9,13-08-2025
952,4,14-08-2025
953,5,15-08-2025
954,5,16-08-2025
955,4,17-08-2025
956,3,18-08-2025
957,1,19-08-2025
958,3,20-08-2025
959,8,21-08-2025
960,4,22-08-2025
961,4,23-08-2025
962,4,24-08-2025
963,4,25-08-2025
964,5,26-08-2025
965,4,27-08-2025
966,6,28-08-2025
967,2,29-08-2025
968,6,30-08-2025
969,2,31-08-2025
970,4,01-09-2025
971,6,02-09-2025
972,5,03-09-2025
973,4,04-09-2025
974,1,05-09-2025
975,5,06-09-2025
976,3,07-09-2025
977,8,08-09-2025
978,5,09-09-2025
979,4,10-09-2025
980,4,11-09-2025
981,4,12-09-2025
982,4,13-09-2025
983,6,14-09-2025
984,7,15-09-2025
985,4,16-09-2025
986,6,17-09-2025
987,3,18-09-2025
988,4,19-09-2025
989,4,20-09-2025
990,2,21-09-2025
991,8,22-09-2025
992,6,23-09-2025
993,6,24-09-2025
994,8,25-09-2025
995,4,26-09-2025
996,7,27-09-2025
997,6,28-09-2025
998,7,29-09-2025
999,4,30-09-2025
